Id,budget,company,country,director,genre,gross,movie status,name,rating,released,runtime,score,star,votes,writer,year
1,0,Film Kraft,India,Rakesh Roshan,1,356000,Hit,Kaho Naa... Pyaar Hai,B,14-01-2000,172,6.9,Hrithik Roshan,10926,Rakesh Roshan,2000
2,0,France 2 Cinéma,France,Anne Fontaine,2,20838,Hit,Nathalie...,B15,07-01-2004,100,6.3,Fanny Ardant,4052,Philippe Blasband,2003
3,0,Abbas Kiarostami Productions,Iran,Abbas Kiarostami,2,40300,Flop,Through the Olive Trees,G,25-01-1995,103,7.8,Mohamad Ali Keshavarz,4232,Abbas Kiarostami,1994
4,0,Adelaide Motion Picture Company,Australia,Mario Andreacchio,3,47687,Hit,Napoleon,G,10-10-1997,81,6.1,Jamie Croft,1353,Mario Andreacchio,1995
5,0,Amblimation,USA,Simon Wells,4,11268750,Flop,Balto,G,22-12-1995,100,7.1,Kevin Bacon,32984,Cliff Ruby,1995
6,0,Bagdasarian Productions,USA,Janice Karman,4,6804312,Flop,The Chipmunk 3,G,22-05-1987,100,7.2,Ross Bagdasarian Jr.,4383,Janice Karman,1987
7,0,Canal+,France,Éric Rohmer,5,196927,Flop,A Summer's Tale,G,20-06-2014,113,7.7,Melvil Poupaud,4597,Éric Rohmer,1996
8,0,"Cannon Group, The",USA,David Irving,6,355253,Hit,Rumpelstiltskin,G,1987-04,84,5.4,Amy Irving,444,Jacob Grimm,1987
9,0,Cineplex-Odeon Films,USA,John D. Hancock,2,18587135,Hit,Prancer,G,17-11-1989,103,6.3,Sam Elliott,3478,Greg Taylor,1989
10,0,Columbia Pictures Film Production Asia,China,Yimou Zhang,2,1280090,Hit,The Road Home,G,15-06-2001,89,7.9,Ziyi Zhang,10983,Shi Bao,1999
11,0,DIC Entertainment,Canada,Bruno Bianchi,7,2193642,Hit,Heathcliff: The Movie,G,17-01-1986,73,5.3,Mel Blanc,187,George Gately,1986
12,0,Disney Television 4,France,Bob Hathcock,4,18115724,Hit,DuckTales the Movie: Treasure of the Lost Lamp,G,03-08-1990,74,6.9,Alan Young,21633,Alan Burnett,1990
13,0,Disneytoon Studios,USA,Francis Glebas,4,23103423,Hit,Piglet's Big Movie,G,21-03-2003,75,6,John Fiedler,5240,Brian Hohlfeld,2003
14,0,Don Bluth,Ireland,Don Bluth,4,71368,Hit,A Troll in Central Park,G,07-10-1994,76,5.4,Dom DeLuise,4914,Stu Krieger,1994
15,0,Embark Production,USA,Joe Camp,3,22257624,Flop,Benji the Hunted,G,05-06-1987,88,6.3,Red Steagall,2244,Joe Camp,1987
16,0,Filmation Associates,USA,John Howley,7,3299382,Hit,Happily Ever After,G,28-05-1993,75,5.1,Ed16d Asner,1876,Martha Moran,1990
17,0,Fuji Television Network,Japan,Masanori Hata,3,13245219,Hit,The 3s of Milo and Otis,G,25-08-1989,90,7.1,Kyôko Koizumi,9178,Masanori Hata,1986
18,0,Gaumont,France,Yves Robert,3,1710856,Flop,My Father's Glory,G,1991-08,105,7.6,Philippe Caubère,5179,Louis Nucéra,1990
19,0,Goodtimes Entertainment,USA,William R. Kowalchuk Jr.,4,113484,Flop,Rudolph the Red-Nosed Reindeer,G,16-10-1998,100,5.8,John Goodman,1851,Robert May,1998
20,0,Hanna-Barbera Productions,USA,Don Lusk,4,1338264,Flop,GoBots: Battle of the Rock Lords,G,21-03-1986,75,5.8,Margot Kidder,397,Jeff Segal,1986
21,0,Hanna-Barbera Productions,USA,Joseph Barbera,4,10900000,Hit,Jetsons: The Movie,G,06-07-1990,82,5.5,George O'Hanlon,3913,Dennis Marks,1990
22,0,Hyperion Pictures,USA,Carroll Ballard,7,781727,Hit,Nutcracker,G,26-11-1986,100,7.2,Hugh Bigney,578,Kent Stowell,1986
23,0,Iwerks Entertainment,France,Jean-Jacques Annaud,3,15054389,Hit,Wings of Courage,G,18-09-1996,50,6.5,Craig Sheffer,537,Alain Godard,1995
24,0,"Jim Henson Company, The",USA,Brian Henson,1,33609000,Flop,Muppet Treasure Island,G,16-02-1996,99,6.9,Tim Curry,17264,Robert Louis Stevenson,1996
25,0,Keystone Pictures,USA,Richard Martin,5,10215386,Hit,Air Bud: Golden Receiver,G,14-08-1998,90,4.5,Kevin Zegers,4556,Kevin DiCicco,1998
26,0,Lacewood Productions,Canada,Paul Schibli,4,1781694,Flop,El príncipe Cascanueces,G,21-11-1990,100,6.9,Kiefer Sutherland,1698,E.T.A. Hoffmann,1990
27,0,Melampo Cinematografica,Italy,Roberto Benigni,5,3684305,Hit,Pinocchio,G,25-12-2002,108,4.2,Roberto Benigni,6772,Roberto Benigni,2002
